i,05/16/2017 22:33:55,Cosmos,g_pCosmosConfig is NULL,SrcFile="csthreadpoolex.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1652" Pid="8424" Tid="6204" TS="0x01D2CE83BCC2A507" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/16/2017 22:33:55,Cosmos,ThreadPoolCreateThreadTimer,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::Initialize" SrcLine="137" Pid="8424" Tid="6204" TS="0x01D2CE83BCC2A507" String1="pThreadPool=000001E17628C220 TimerThreadId=868 uMaxThreadCount=16 uLogCallbackTimeMs=10000 uLogPoolQueueTimeMs=100 uLogPoolQueueDepth=100 uLogTimerQueueTimeMs=100 uLogTimerQueueDepth=100"
d,05/16/2017 22:33:55,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="376" Pid="8424" Tid="6204" TS="0x01D2CE83BCC2CB96" String1="pThreadPool=000001E17628C220 WorkerThreadId=15180 uCreatedThreadCount=1 uMaxThreadCount=16"
d,05/16/2017 22:33:55,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="376" Pid="8424" Tid="15180" TS="0x01D2CE83BCC2F2AE" String1="pThreadPool=000001E17628C220 WorkerThreadId=13360 uCreatedThreadCount=2 uMaxThreadCount=16"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BCC3546A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0000 Latency=25020 StartedAt=131394404350096046 FinishedAt=131394404350121066"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BCC3546A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0780 Latency=0 StartedAt=131394404350121066 FinishedAt=131394404350121066"
d,05/16/2017 22:33:55,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="376" Pid="8424" Tid="13360" TS="0x01D2CE83BCC3687A" String1="pThreadPool=000001E17628C220 WorkerThreadId=14368 uCreatedThreadCount=3 uMaxThreadCount=16"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BCC3687A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0180 Latency=0 StartedAt=131394404350126202 FinishedAt=131394404350126202"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BCC4A138" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0CC0 Latency=0 StartedAt=131394404350206264 FinishedAt=131394404350206264"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BCC4B443" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C01E0 Latency=0 StartedAt=131394404350206264 FinishedAt=131394404350206264"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BCC4B443" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0C00 Latency=0 StartedAt=131394404350211139 FinishedAt=131394404350211139"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BCC4C866" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0E40 Latency=0 StartedAt=131394404350216294 FinishedAt=131394404350216294"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BCD02C32" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0180 Latency=0 StartedAt=131394404350962738 FinishedAt=131394404350962738"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BD06765F" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0180 Latency=0 StartedAt=131394404354520671 FinishedAt=131394404354520671"
d,05/16/2017 22:33:55,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BD3AC2C5" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0E40 Latency=0 StartedAt=131394404357948101 FinishedAt=131394404357948101"
d,05/16/2017 22:33:56,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BD6B379A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0000 Latency=0 StartedAt=131394404361123738 FinishedAt=131394404361123738"
d,05/16/2017 22:33:56,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BD9BB21A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0480 Latency=0 StartedAt=131394404364300826 FinishedAt=131394404364300826"
d,05/16/2017 22:33:56,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BDABE264" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C08A0 Latency=0 StartedAt=131394404365361764 FinishedAt=131394404365361764"
