i,05/16/2017 22:36:27,Cosmos,g_pCosmosConfig is NULL,SrcFile="csthreadpoolex.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1652" Pid="6316" Tid="8628" TS="0x01D2CE8417E8DE14" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/16/2017 22:36:27,Cosmos,ThreadPoolCreateThreadTimer,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::Initialize" SrcLine="137" Pid="6316" Tid="8628" TS="0x01D2CE8417E8DE14" String1="pThreadPool=000001F86F4A0130 TimerThreadId=16096 uMaxThreadCount=16 uLogCallbackTimeMs=10000 uLogPoolQueueTimeMs=100 uLogPoolQueueDepth=100 uLogTimerQueueTimeMs=100 uLogTimerQueueDepth=100"
d,05/16/2017 22:36:27,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="376" Pid="6316" Tid="8628" TS="0x01D2CE8417E91853" String1="pThreadPool=000001F86F4A0130 WorkerThreadId=17620 uCreatedThreadCount=1 uMaxThreadCount=16"
d,05/16/2017 22:36:27,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="376" Pid="6316" Tid="17620" TS="0x01D2CE8417E97A0F" String1="pThreadPool=000001F86F4A0130 WorkerThreadId=10844 uCreatedThreadCount=2 uMaxThreadCount=16"
d,05/16/2017 22:36:27,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8417E9B4C2" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405879362754 FinishedAt=131394405879362754"
d,05/16/2017 22:36:27,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8417EA1667" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A85C0 Latency=24997 StartedAt=131394405879362754 FinishedAt=131394405879387751"
d,05/16/2017 22:36:27,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="376" Pid="6316" Tid="10844" TS="0x01D2CE8417EA5177" String1="pThreadPool=000001F86F4A0130 WorkerThreadId=18040 uCreatedThreadCount=3 uMaxThreadCount=16"
d,05/16/2017 22:36:27,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8417EA5177" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405879402871 FinishedAt=131394405879402871"
d,05/16/2017 22:36:27,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8417ECEA5E" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405879573086 FinishedAt=131394405879573086"
d,05/16/2017 22:36:27,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8417EF5B23" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405879733027 FinishedAt=131394405879733027"
d,05/16/2017 22:36:27,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE8417F1CC95" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405879893141 FinishedAt=131394405879893141"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8417F4B3E6" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405880083430 FinishedAt=131394405880083430"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8417F6EA1E" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405880228382 FinishedAt=131394405880228382"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE8417F90DC4" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A85C0 Latency=0 StartedAt=131394405880368580 FinishedAt=131394405880368580"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8417FB6B9F" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405880523679 FinishedAt=131394405880523679"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8417FDA288" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405880668808 FinishedAt=131394405880668808"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE8417FFECB9" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405880818873 FinishedAt=131394405880818873"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE84180223AB" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405880964011 FinishedAt=131394405880964011"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8418046D9B" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405881114011 FinishedAt=131394405881114011"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE841806A455" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405881259093 FinishedAt=131394405881259093"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE841809D936" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405881469238 FinishedAt=131394405881469238"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE84180C241D" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405881619485 FinishedAt=131394405881619485"
